9.0, 13, 1217.22, 147.84
9.0, 12, 782.91, 363.35
9.0, 11, 525.85, 331.01
9.0, 9, 64.04, 598.06
9.0, 8, 636.03, 170.78
9.0, 7, 997.54, 278.34
9.0, 6, 791.44, 657.54
9.0, 5, 968.60, 529.64
9.0, 4, 80.02, 124.89
9.0, 3, 191.58, 366.31
9.0, 2, 475.57, 464.47
9.0, 1, 1010.51, 381.05
10.0, 25, 675.16, 123.61
10.0, 23, 1256.80, 493.98
10.0, 20, 1166.32, 124.95
10.0, 18, 401.05, 233.84
10.0, 17, 1093.42, 47.30
10.0, 16, 492.92, 192.50
10.0, 15, 172.47, 57.36
10.0, 13, 1217.31, 147.84
10.0, 12, 783.95, 362.69
10.0, 11, 525.75, 329.04
10.0, 9, 65.53, 598.51
10.0, 8, 636.04, 171.12
10.0, 7, 998.16, 280.67
10.0, 6, 790.48, 655.38
10.0, 5, 966.60, 529.63
10.0, 4, 79.92, 124.50
10.0, 3, 191.29, 369.30
10.0, 2, 475.95, 462.80
10.0, 1, 1010.94, 385.48
11.0, 27, 246.57, 373.35
11.0, 26, 795.60, 126.53
11.0, 25, 675.72, 124.25
11.0, 23, 1256.80, 492.47
11.0, 20, 1166.50, 126.95
11.0, 18, 400.84, 235.32
11.0, 16, 492.72, 191.51
11.0, 15, 174.24, 55.72
11.0, 13, 1217.58, 147.94
11.0, 12, 784.66, 362.53
11.0, 11, 525.50, 327.08
11.0, 9, 66.95, 598.55
11.0, 8, 636.12, 171.45
11.0, 7, 999.11, 282.56
11.0, 6, 789.09, 652.24
11.0, 5, 964.48, 529.68
11.0, 4, 79.75, 124.30
11.0, 3, 190.88, 371.47
11.0, 2, 476.20, 460.09
11.0, 1, 1011.67, 388.91
12.0, 27, 246.41, 373.07
12.0, 25, 676.05, 124.65
12.0, 23, 1256.36, 491.35
12.0, 20, 1165.66, 129.60
12.0, 18, 400.88, 236.13
12.0, 16, 492.25, 190.49
12.0, 15, 176.40, 55.09
12.0, 13, 1218.11, 148.10
12.0, 12, 784.99, 362.15
12.0, 11, 525.27, 325.69
12.0, 9, 68.28, 598.71
12.0, 8, 636.02, 172.10
12.0, 7, 999.87, 284.58
12.0, 6, 787.62, 649.54
12.0, 5, 961.88, 530.34
12.0, 4, 79.64, 124.10
12.0, 3, 190.69, 373.60
12.0, 2, 476.23, 458.43
12.0, 1, 1012.12, 391.23
13.0, 27, 245.70, 373.37
13.0, 25, 676.18, 125.13
13.0, 23, 1255.06, 489.71
13.0, 20, 1165.63, 131.61
13.0, 18, 400.59, 238.93
13.0, 16, 491.48, 187.83
13.0, 15, 178.86, 53.91
13.0, 13, 1219.34, 148.89
13.0, 12, 785.50, 360.00
13.0, 11, 524.57, 324.44
13.0, 9, 70.36, 599.44
13.0, 8, 635.60, 171.83
13.0, 7, 1001.69, 287.36
13.0, 6, 785.25, 647.18
13.0, 5, 957.71, 530.36
13.0, 4, 78.86, 123.98
13.0, 3, 190.22, 376.53
13.0, 2, 475.65, 454.91
13.0, 1, 1013.65, 395.40
14.0, 27, 245.29, 373.76
14.0, 25, 676.40, 125.60
14.0, 23, 1255.01, 488.96
14.0, 20, 1166.36, 132.74
14.0, 18, 400.52, 241.48
14.0, 16, 491.46, 185.95
14.0, 15, 180.20, 52.83
14.0, 13, 1219.90, 150.12
14.0, 12, 786.00, 358.24
14.0, 11, 524.43, 322.59
14.0, 9, 72.18, 598.58
14.0, 8, 635.52, 172.35
14.0, 7, 1003.27, 287.75
14.0, 6, 783.95, 646.19
14.0, 5, 954.12, 530.13
14.0, 4, 78.29, 123.88
14.0, 3, 190.00, 377.97
14.0, 2, 474.99, 451.96
14.0, 1, 1015.35, 399.17
15.0, 27, 245.35, 374.15
15.0, 25, 676.49, 126.02
15.0, 23, 1254.05, 487.81
15.0, 20, 1166.99, 134.04
15.0, 18, 400.42, 243.24
15.0, 16, 491.32, 182.63
15.0, 15, 181.31, 51.43
15.0, 14, 818.95, 112.99
15.0, 13, 1219.94, 152.08
15.0, 12, 786.43, 356.40
15.0, 11, 524.65, 320.25
15.0, 9, 75.04, 599.69
15.0, 8, 635.57, 173.21
15.0, 7, 1004.80, 288.78
15.0, 6, 782.82, 644.92
15.0, 5, 951.57, 529.84
15.0, 4, 77.82, 123.52
15.0, 3, 189.16, 378.67
15.0, 2, 474.51, 449.35
15.0, 1, 1016.33, 401.98
16.0, 27, 245.42, 373.97
16.0, 25, 676.58, 126.26
16.0, 23, 1253.48, 485.53
16.0, 18, 400.29, 244.27
16.0, 16, 491.22, 179.14
16.0, 15, 181.72, 50.75
16.0, 14, 818.71, 111.80
16.0, 13, 1219.86, 154.17
16.0, 12, 786.74, 354.30
16.0, 11, 524.45, 317.81
16.0, 9, 78.23, 600.54
16.0, 8, 635.55, 173.96
16.0, 7, 1005.93, 290.16
16.0, 6, 781.34, 643.26
16.0, 5, 949.09, 529.73
16.0, 4, 77.57, 123.00
16.0, 3, 188.35, 379.11
16.0, 2, 474.15, 445.18
16.0, 1, 1017.37, 403.29
17.0, 27, 245.75, 373.54
17.0, 25, 676.49, 127.01
17.0, 23, 1251.29, 482.27
17.0, 18, 400.32, 245.03
17.0, 16, 491.22, 177.01
17.0, 15, 182.45, 49.40
17.0, 14, 818.45, 110.52
17.0, 13, 1219.45, 155.79
17.0, 12, 787.31, 351.13
17.0, 11, 524.13, 314.88
17.0, 9, 80.78, 601.34
17.0, 8, 635.52, 175.09
17.0, 7, 1007.04, 292.05
17.0, 6, 779.76, 640.95
17.0, 5, 946.22, 530.24
17.0, 4, 77.36, 122.73
17.0, 3, 187.50, 379.28
17.0, 2, 473.75, 439.19
17.0, 1, 1018.15, 404.22
18.0, 27, 244.94, 372.97
18.0, 25, 675.74, 128.54
18.0, 23, 1248.53, 477.59
18.0, 18, 400.16, 246.23
18.0, 16, 490.35, 175.12
18.0, 15, 184.12, 48.09
18.0, 14, 818.49, 109.28
18.0, 13, 1219.40, 157.80
18.0, 12, 787.26, 345.75
18.0, 11, 523.51, 311.43
18.0, 9, 82.41, 601.66
18.0, 8, 636.02, 178.71
18.0, 7, 1008.69, 296.87
18.0, 6, 778.11, 634.40
18.0, 5, 942.41, 529.87
18.0, 4, 77.00, 122.58
18.0, 3, 185.33, 378.08
18.0, 2, 473.82, 433.05
18.0, 1, 1019.10, 404.71
19.0, 27, 244.27, 372.47
19.0, 25, 675.85, 129.24
19.0, 23, 1246.57, 473.38
19.0, 18, 399.89, 246.56
19.0, 16, 489.39, 173.89
19.0, 15, 185.63, 46.45
19.0, 14, 818.04, 108.33
19.0, 13, 1219.24, 159.36
19.0, 12, 786.55, 342.42
19.0, 11, 523.26, 307.88
19.0, 9, 81.92, 602.28
19.0, 8, 636.40, 180.47
19.0, 7, 1009.58, 300.97
19.0, 6, 777.00, 629.44
19.0, 5, 939.00, 529.60
19.0, 4, 76.78, 122.49
19.0, 3, 183.86, 378.73
19.0, 2, 473.55, 428.76
19.0, 1, 1019.97, 405.61
20.0, 32, 740.74, 81.44
20.0, 27, 243.80, 372.30
20.0, 25, 676.59, 130.33
20.0, 23, 1244.50, 469.21
20.0, 18, 399.50, 246.79
20.0, 16, 488.63, 172.87
20.0, 15, 187.54, 44.57
20.0, 14, 817.75, 107.99
20.0, 13, 1219.64, 160.49
20.0, 12, 785.96, 340.48
20.0, 11, 523.12, 304.92
20.0, 9, 81.80, 602.84
20.0, 8, 636.58, 181.17
20.0, 7, 1010.19, 304.86
20.0, 6, 776.82, 625.51
20.0, 5, 934.16, 529.38
